ID_LATTES	NM_PROGRAMA_IES	NM_ENTIDADE_ENSINO
6546605811840426	ARQUITETURA	Universidade Federal do Rio Grande do Sul
2757009040611202	ARQUITETURA	Universidade Federal do Rio Grande do Sul
3852560888851492	ARQUITETURA	Universidade Federal do Rio Grande do Sul
9712569624538951	ARQUITETURA	Universidade Federal do Rio Grande do Sul
8232169378278541	ARQUITETURA	Universidade Federal do Rio Grande do Sul
9681646415329903	ARQUITETURA	Universidade Federal do Rio Grande do Sul
0505233237186975	ARQUITETURA	Universidade Federal do Rio Grande do Sul
0148160993128279	ARQUITETURA	Universidade Federal do Rio Grande do Sul
5058603540533124	ARQUITETURA	Universidade Federal do Rio Grande do Sul
6314092942816148	ARQUITETURA	Universidade Federal do Rio Grande do Sul
3954072189046165	ARQUITETURA	Universidade Federal do Rio Grande do Sul
1529601716362955	ARQUITETURA	Universidade Federal do Rio Grande do Sul
4323389994709035	ARQUITETURA	Universidade Federal do Rio Grande do Sul
4288089072857204	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
6444075692126392	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
6553962316361796	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
5436932725167026	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
1410848209716090	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
3452193790685332	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
0990182192329160	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
9587813519122265	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
0332056210980546	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
7439171356537261	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
4833760995067683	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
9969525838261265	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
8040612039120075	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
1848383210831565	ARTES CÊNICAS	Universidade Federal do Rio Grande do Sul
2897459119711239	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
5190429471529280	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
8583123342049705	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
6757996415119570	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
4580841303139412	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
7767171140617889	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
0986480511351524	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
7850344003728919	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
3522735126156406	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
9871933299611622	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
7721780674364220	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
7972005204892014	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
6952735371047311	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
2938354734194794	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
3219001683557680	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
1775668355438233	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
8186621070642430	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
1902184658684723	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
4866833198348847	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
8866560335745211	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
0024977948247395	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
3571396582424711	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
0683223879850775	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
0659044051924335	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
2319109801277853	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
1304040199380156	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
2118563938166344	ARTES VISUAIS	Universidade Federal do Rio Grande do Sul
6259464765510734	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
8138219168567371	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
4456054214625958	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
2413108146059860	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
6424432214565576	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
1302232285829492	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
7240894306747562	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
3287468765750857	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
5917097187533724	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
3204512494420226	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
0491600109519083	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
1728145468467999	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
6695728353320968	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
1955003761488344	ASSISTÊNCIA FARMACÊUTICA	Universidade Federal do Rio Grande do Sul
